PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT,SEASON,Season_Year,injured,PLAYER_ID_run,TEAM_ABBREVIATION_run,GP_run,MIN,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF,SEASON_TYPE
201943,Brandon Jennings,DET,24,73,169,80,15.5,3.1,7.6,-3.1,0.02,0.069,0.228,0.486,0.334,2013-14,2013,TRUE,201943,DET,80,34.1,2.43,1.33,1.11,4.29,4.69,3.89,Regular Season
202688,Brandon Knight,MIL,22,75,189,72,17.9,3.5,4.9,-8.6,0.019,0.092,0.263,0.523,0.262,2013-14,2013,FALSE,202688,MIL,72,33.33,2.39,1.32,1.07,4.31,4.75,3.87,Regular Season
201575,Brandon Rush,UTA,28,78,233,38,2.1,1.2,0.6,-10.5,0.011,0.095,0.116,0.428,0.085,2013-14,2013,TRUE,201575,UTA,38,11,0.77,0.43,0.34,4.22,4.41,4.02,Regular Season
203148,Brian Roberts,NOP,28,73,173,72,9.4,1.9,3.3,-4.3,0.011,0.074,0.198,0.529,0.226,2013-14,2013,FALSE,203148,NOP,72,23.15,1.7,0.94,0.76,4.4,4.81,3.99,Regular Season
201572,Brook Lopez,BKN,26,84,275,17,20.7,6,0.9,-2.2,0.078,0.113,0.265,0.629,0.059,2013-14,2013,TRUE,201572,BKN,17,31.38,2,1.02,0.98,3.83,3.91,3.73,Regular Season
201957,Byron Mullens,PHI,25,84,275,45,4.2,2,0.3,-16.4,0.054,0.172,0.205,0.544,0.06,2013-14,2013,FALSE,201957,PHI,45,9.21,0.64,0.33,0.3,4.16,4.53,3.82,Regular Season
201228,C.J. Watson,IND,30,74,175,63,6.6,1.6,1.7,6.2,0.016,0.065,0.159,0.555,0.144,2013-14,2013,TRUE,201228,IND,63,18.94,1.38,0.74,0.64,4.37,4.66,4.08,Regular Season
201228,C.J. Watson,IND,30,74,175,63,6.6,1.6,1.7,6.2,0.016,0.065,0.159,0.555,0.144,2013-14,2013,TRUE,201228,IND,19,18.01,1.3,0.7,0.59,4.32,4.7,3.99,Playoffs
203468,CJ McCollum,POR,22,76,200,38,5.3,1.3,0.7,-2.1,0.013,0.081,0.201,0.521,0.089,2013-14,2013,FALSE,203468,POR,38,12.52,0.94,0.51,0.43,4.5,4.89,4.1,Regular Season
203468,CJ McCollum,POR,22,76,200,38,5.3,1.3,0.7,-2.1,0.013,0.081,0.201,0.521,0.089,2013-14,2013,FALSE,203468,POR,6,3.99,0.3,0.16,0.14,4.51,5.12,4.42,Playoffs
101139,CJ Miles,CLE,27,78,231,51,9.9,2,1,1.9,0.017,0.089,0.213,0.569,0.088,2013-14,2013,FALSE,101139,CLE,51,19.3,1.36,0.73,0.63,4.25,4.58,3.92,Regular Season
201171,Carl Landry,SAC,30,81,248,18,4.2,3.2,0.3,-12.3,0.064,0.177,0.139,0.563,0.036,2013-14,2013,TRUE,201171,SAC,18,12.94,0.88,0.48,0.4,4.08,4.21,3.93,Regular Season
2430,Carlos Boozer,CHI,32,81,266,76,13.7,8.3,1.6,-1,0.063,0.239,0.257,0.489,0.105,2013-14,2013,FALSE,2430,CHI,76,28.17,1.75,0.93,0.82,3.75,3.87,3.61,Regular Season
2430,Carlos Boozer,CHI,32,81,266,76,13.7,8.3,1.6,-1,0.063,0.239,0.257,0.489,0.105,2013-14,2013,FALSE,2430,CHI,5,24.19,1.5,0.8,0.71,3.73,3.8,3.65,Playoffs
2546,Carmelo Anthony,NYK,30,80,235,77,27.4,8.1,3.1,1.3,0.049,0.171,0.318,0.561,0.156,2013-14,2013,FALSE,2546,NYK,77,38.72,2.42,1.28,1.14,3.76,3.87,3.65,Regular Season
2406,Caron Butler,OKC,34,79,228,56,10.5,4.1,1.5,-5.3,0.015,0.149,0.2,0.512,0.099,2013-14,2013,TRUE,2406,OKC,55,25.34,1.63,0.85,0.77,3.85,4,3.71,Regular Season
2406,Caron Butler,OKC,34,79,228,56,10.5,4.1,1.5,-5.3,0.015,0.149,0.2,0.512,0.099,2013-14,2013,TRUE,2406,OKC,18,23.26,1.49,0.76,0.73,3.84,3.87,3.82,Playoffs
203467,Carrick Felix,CLE,23,78,201,7,2.7,0.9,0.6,7.3,0.033,0.128,0.217,0.603,0.143,2013-14,2013,TRUE,203467,CLE,7,5.44,0.42,0.21,0.21,4.72,5.34,4.23,Regular Season
201858,Cartier Martin,ATL,29,79,220,59,5.6,1.9,0.6,-7,0.015,0.115,0.166,0.562,0.064,2013-14,2013,TRUE,201858,ATL,59,14.74,1.06,0.56,0.5,4.36,4.68,4.05,Regular Season
